13612 -6.435 15083 -9.272 18029 -9.038 23549 -9.127 30869 -9.575 33016 -7.919 35078 -7.822 37061 -8.804 39322 -11.383
13630 -6.286 15100 -9.505 18062 -8.570 23691 -9.151 30923 -9.969 33025 -8.285 35090 -7.920 37072 -8.778 39367 -11.178
13647 -6.247 15118 -9.677 18093 -8.600 23837 -9.468 30977 -9.531 33035 -7.852 35102 -8.002 37083 -8.781 39412 -11.027
13662 -6.210 15135 -9.490 18123 -8.008 23988 -9.202 31030 -9.195 33045 -8.860 35113 -7.988 37093 -8.758 39458 -11.081
13678 -6.160 15152 -11.272 18153 -8.389 24143 -9.308 31082 -8.654 33056 -7.814 35122 -8.212 37104 -8.921 39504 -11.047
13692 -6.486 15170 -9.393 18183 -8.468 24300 -10.008 31133 -8.838 33066 -8.354 35131 -8.351 37114 -8.836 39550 -10.850
13706 -6.223 15187 -9.594 18214 -8.172 24461 -9.798 31183 -8.408 33077 -8.597 35135 -8.183 37125 -8.855 39598 -10.758
13719 -6.839 15204 -8.790 18245 -7.796 24623 -9.298 31232 -8.158 33088 -8.523 35167 -7.852 37136 -8.819 39645 -10.624
13732 -6.725 15221 -8.611 18278 -7.184 24787 -9.165 31281 -7.744 33100 -9.218 35199 -7.992 37146 -8.851 39693 -10.735
13744 -6.627 15239 -8.639 18313 -7.054 24952 -9.062 31328 -7.451 33111 -9.150 35231 -7.707 37157 -8.785 39742 -10.448
13756 -6.674 15256 -8.656 18349 -6.938 25117 -9.281 31375 -7.226 33123 -8.479 35263 -7.603 37168 -8.871 39791 -10.371
13768 -6.668 15273 -8.435 18387 -7.017 25281 -9.370 31420 -7.055 33136 -9.631 35294 -7.596 37179 -8.847 39841 -10.388
13779 -6.696 15290 -8.677 18427 -7.540 25444 -9.179 31465 -7.071 33148 -8.645 35326 -7.661 37190 -8.714 39891
13790 -6.712 15307 -8.539 18469 -8.227 25604 -9.101 31509 -7.214 33161 -10.042 35357 -7.614 37201 -8.548 39941 -9.922
13800 -6.717 15324 -8.887 18514 -8.011 25760 -9.175 31551 -7.686 33175 -10.092 35388 -7.816 37212 -8.457 39992 -10.056
13811 -6.694 15341 -8.582 18560 -7.088 25911 -8.882 31593 -7.666 33188 -10.383 35419 -7.856 37223 -8.330 40043 -10.131
13821 -6.679 15358 -8.510 18609 -7.365 25944 -9.720 31634 -8.253 33202 -10.343 35450 -8.091 37234 -8.146 40095 -10.205
13831 -6.400 15375 -8.134 18661 -6.570 25977 -10.227 31675 -8.616 33217 -10.509 35480 -8.232 37246 40147 -10.382
13841 -6.309 15392 -7.850 18714 -6.529 26010 -10.810 31714 -9.232 33231 -11.010 35510 -8.224 37257 -7.865 40200 -10.417
13851 -6.431 15409 -7.423 18770 -6.855 26043 -10.411 31752 -8.902 33246 -11.019 35541 -8.223 37269 -7.789 40253 -9.817
13860 -6.388 15426 -7.317 18828 -6.835 26076 -9.950 31790 -8.491 33262 -10.670 35570 -8.294 37281 -7.682 40307 -9.482
13870 -6.212 15443 -7.355 18888 -7.266 26109 -9.957 31826 -8.365 33277 -10.300 35600 -8.381 37292 -7.956 40361 -10.488
13880 -6.184 15460 -7.805 18950 -7.486 26142 -10.121 31862 -7.914 33293 -10.171 35630 -8.551 37305 40415 -9.337
13890 -5.963 15477 -7.743 19014 -7.493 26260 -10.259 31897 -7.665 33310 -10.208 35659 -8.750 37317 -8.152 40470 -9.804
13900 -6.052 15495 -7.694 19079 -7.437 26270 -10.626 31931 -7.147 33327 -10.106 35688 -8.505 37329 -8.290 40525
13910 -6.227 15512 -7.405 19146 -7.276 26283 -10.438 31964 -7.163 33344 -10.064 35716 -8.406 37342 -8.341 40580 -10.517
13920 -6.219 15529 -7.362 19214 -7.114 26300 -10.479 31996 -7.834 33361 -9.275 35745 -8.050 37355 -8.417 40636 -10.496
13930 -5.961 15547 -8.506 19283 -7.107 26320 -9.893 32028 -8.709 33379 -9.015 35773 -8.173 37368 -8.472 40692 -10.399
13940 -6.132 15564 -7.392 19353 -7.609 26343 -9.872 32059 -9.390 33397 -8.937 35801 -8.403 37381 -8.511 40749 -10.327
13950 -5.796 15582 -7.613 19424 -8.348 26370 -9.562 32088 -9.984 33416 -8.815 35828 -8.504 37394 -8.545 40806 -10.225
