Bar0, 14.37371663244353
Bar1, 14.37371663244353
Bar2, 22.58726899383983
Bar3, 14.37371663244353
Bar4, 14.37371663244353
Bar5, 14.37371663244353
Bar6, 14.37371663244353
Bar7, 14.37371663244353
Bar8, 13.347022587268992
Bar9, 13.347022587268992
Bar10, 19.50718685831622
Bar11, 320.3285420944558
Bar12, 397.33059548254624
Bar13, 200.20533880903497
Bar14, 219.71252566735117
Bar15, 484.599589322382
Bar16, 337.782340862423
Bar17, 149.89733059548252
Bar18, 57.49486652977412
Bar19, 31.82751540041067
Bar20, 20.533880903490758
Bar21, 17.453798767967143
Bar22, 13.347022587268992
Bar23, 11.293634496919916
Bar24, 12.320328542094455
Bar25, 12.320328542094455
Bar26, 12.320328542094455
Bar27, 12.320328542094455
Bar28, 12.320328542094455
Bar29, 12.320328542094455
Bar30, 12.320328542094455
Bar31, 12.320328542094455
Bar32, 12.320328542094455
Bar33, 13.347022587268992
Bar34, 11.293634496919916
Bar35, 14.37371663244353
Bar36, 17.453798767967143
Bar37, 22.58726899383983
Bar38, 28.74743326488706
Bar39, 23.61396303901437
Bar40, 19.50718685831622
Bar41, 15.400410677618067
Bar42, 12.320328542094455
